indice,Temperature,Humidity,Heat Index,CO,Smoke
290,14.980597418499991,39.24782119928175,13.953958143426094,1.7578161159976224,-2.175418254527653
291,15.063010794263155,39.24782119928175,14.040526508881891,1.7578161159976224,-2.175418254527653
292,15.145424170026322,39.24782119928175,14.127094874337688,1.7578161159976224,-2.175418254527653
293,15.227837545789486,39.24782119928175,14.213663239793474,1.7578161159976224,-2.175418254527653
294,15.31025092155265,39.24782119928175,14.300231605249271,1.7578161159976224,-2.175418254527653
295,15.392664297315816,39.24782119928175,14.386799970705068,1.7578161159976224,-2.175418254527653
296,15.47507767307898,39.24782119928175,14.473368336160858,1.7578161159976224,-2.175418254527653
297,15.557491048842143,39.24782119928175,14.559936701616655,1.7578161159976224,-2.175418254527653
298,15.63990442460531,39.24782119928175,14.646505067072448,1.7578161159976224,-2.175418254527653
299,15.722317800368474,39.24782119928175,14.733073432528245,1.7578161159976224,-2.175418254527653
300,15.804731176131638,39.24782119928175,14.819641797984035,1.7578161159976224,-2.175418254527653
301,15.887144551894801,39.24782119928175,14.906210163439832,1.7578161159976224,-2.175418254527653
302,15.969557927657968,39.24782119928175,14.992778528895629,1.7578161159976224,-2.175418254527653
303,16.05197130342113,39.24782119928175,15.079346894351415,1.7578161159976224,-2.175418254527653
304,16.134384679184297,39.24782119928175,15.165915259807212,1.7578161159976224,-2.175418254527653
305,16.216798054947457,39.24782119928175,15.25248362526301,1.7578161159976224,-2.175418254527653
306,16.29921143071062,39.24782119928175,15.339051990718806,1.7578161159976224,-2.175418254527653
307,16.381624806473788,39.24782119928175,15.425620356174596,1.7578161159976224,-2.175418254527653
308,16.464038182236955,39.24782119928175,15.51218872163039,1.7578161159976224,-2.175418254527653
309,16.54645155800012,39.24782119928175,15.598757087086186,1.7578161159976224,-2.175418254527653
310,16.628864933763282,39.24782119928175,15.685325452541976,1.7578161159976224,-2.175418254527653
311,16.711278309526445,39.24782119928175,15.771893817997773,1.7578161159976224,-2.175418254527653
312,16.793691685289613,39.24782119928175,15.85846218345357,1.7578161159976224,-2.175418254527653
313,16.876105061052776,39.24782119928175,15.945030548909367,1.7578161159976224,-2.175418254527653
314,16.95851843681594,39.24782119928175,16.031598914365155,1.7578161159976224,-2.175418254527653
315,17.040931812579107,39.24782119928175,16.118167279820952,1.7578161159976224,-2.175418254527653
316,17.12334518834227,39.24782119928175,16.20473564527675,1.7578161159976224,-2.175418254527653
317,17.205758564105434,39.24782119928175,16.29130401073254,1.7578161159976224,-2.175418254527653
318,17.2881719398686,39.24782119928175,16.377872376188332,1.7578161159976224,-2.175418254527653
319,17.370585315631764,39.24782119928175,16.46444074164413,1.7578161159976224,-2.175418254527653
320,17.45299869139493,39.24782119928175,16.551009107099926,1.7578161159976224,-2.175418254527653
